"year","sex","age","comp_use","employment","employment_type","hours_worked","employees_workplace","importance_comp","complexity_comp","experience","sector","skill_change","ethnicity","region","hourly_pay","weight","employees_comp","pid","highest_qualification","knowledge_share","experience_share"
2012,1,23,1,1,1,37,3,1,4,5,1,1,1,6,NA,16842,1,2,1,20.2127659574468,79.7872340425532
2012,2,40,1,1,1,37,5,2,2,10,1,1,1,6,40.5405387878418,5179,1,3,4,21.8487394957983,78.1512605042017
2012,2,44,1,1,1,25,3,2,2,7,2,1,2,6,7.19999980926514,7211,3,4,4,25,75
2012,2,23,1,1,1,-3,4,2,1,0,2,NA,1,6,NA,13590,1,5,4,25.9842519685039,74.0157480314961
1997,1,54,NA,1,1,35,4,4,6,37,1,NA,1,11,7.692307472229,7641,NA,6,1,26.530612244898,73.469387755102
2017,1,21,NA,1,2,16,2,2,2,1,1,NA,1,1,NA,24025,3,7,2,32.5842696629214,67.4157303370787
1997,1,50,NA,1,1,39,2,5,NA,35,1,1,1,11,7.39644956588745,11344,NA,11,2,24.2424242424242,75.7575757575758
1997,2,36,NA,1,2,18,2,5,NA,17,2,1,1,11,5.19999980926514,10572,NA,12,3,27.1739130434783,72.8260869565217
2012,2,26,1,1,2,15,4,2,1,10,1,1,1,10,7,1038,1,13,1,22.972972972973,77.027027027027
1997,2,59,NA,1,2,15.0000009536743,3,5,NA,34,1,2,1,11,2.66666674613953,11459,NA,15,1,29.4117647058824,70.5882352941177
2017,2,37,NA,1,2,24,2,1,2,16,1,2,1,2,7.21709012985229,9213,1,15,1,25.3521126760563,74.6478873239437
2012,2,25,1,1,1,37,4,1,2,3,1,NA,1,10,8.73180866241455,2053,1,15,1,31.5315315315315,68.4684684684685
2012,2,29,2,1,1,33,2,3,2,8,2,3,1,10,7.57999992370605,1589,5,16,2,14.8936170212766,85.1063829787234
2012,1,36,2,1,1,40,2,2,7,18,1,3,1,10,10,1063,5,17,1,30.6930693069307,69.3069306930693
2012,1,51,1,1,1,40,2,3,7,30,1,2,1,10,6.49038457870483,1927,1,18,1,29.1139240506329,70.8860759493671
2017,1,31,NA,1,1,39,5,2,1,15,1,1,1,8,7.69822978973389,5944,1,19,1,25.609756097561,74.390243902439
2017,1,35,NA,1,1,-3,2,1,3,17,1,1,1,8,NA,12830,1,20,2,26.7326732673267,73.2673267326733
1997,1,46,NA,1,1,84,3,5,NA,25,1,2,1,11,4.1100001335144,5212,NA,24,1,30.7692307692308,69.2307692307692
2012,1,52,1,1,1,55,2,1,3,36,1,3,1,10,NA,3011,5,26,1,23.2876712328767,76.7123287671233
2017,2,53,NA,1,2,21,5,1,3,35,2,1,1,2,10.073260307312,11330,1,26,1,23.4782608695652,76.5217391304348
1997,1,31,NA,1,1,55,2,3,6,13,1,1,4,11,4.63636350631714,15802,NA,27,3,26.4150943396226,73.5849056603774
2012,2,41,1,1,1,43,3,1,2,20,1,1,1,10,6.70840787887573,773,1,30,1,26.5734265734266,73.4265734265734
2017,2,46,NA,1,1,38,4,1,2,29,2,1,1,2,18.2186222076416,5411,1,30,4,24.812030075188,75.187969924812
2012,2,25,1,1,1,40,2,1,3,6,1,1,1,10,10.0961542129517,2053,3,31,1,27.5229357798165,72.4770642201835
2012,1,49,2,1,1,37,4,3,1,29,1,3,1,10,10.6000003814697,1890,2,33,1,26.7441860465116,73.2558139534884
1997,2,42,NA,1,1,39,2,4,1,12,1,1,1,11,3.54999995231628,18270,NA,34,3,27.34375,72.65625
2017,1,37,NA,1,1,40,5,1,2,13,2,1,1,11,24.0384616851807,12830,1,34,4,28.2828282828283,71.7171717171717
2012,2,57,1,1,1,32,2,1,2,15,3,3,1,10,12.620192527771,810,1,35,1,28.5714285714286,71.4285714285714
2012,1,49,2,1,1,40,3,4,7,27,1,2,1,10,9.5,1890,1,36,1,29.0697674418605,70.9302325581395
2017,1,38,NA,1,1,43,4,1,2,19,1,1,1,8,14.3112707138062,11238,1,37,1,25.6637168141593,74.3362831858407
2012,2,23,1,1,1,33,3,5,NA,6,2,1,1,10,6.23000001907349,1589,5,38,2,24.8175182481752,75.1824817518248
2017,1,45,NA,1,1,40,4,2,2,15,2,1,3,9,48.0769233703613,6601,1,38,2,23.469387755102,76.530612244898
2012,1,48,2,1,1,40,3,4,2,31,1,1,1,10,8,4367,5,39,1,20.2020202020202,79.7979797979798
2017,1,23,NA,1,1,38,4,1,2,5,1,1,1,9,8.09716606140137,15661,1,39,1,24,76
2012,1,54,1,1,1,36,3,5,NA,35,1,1,1,10,7.59999990463257,1016,1,40,1,32.6086956521739,67.3913043478261
1997,2,56,NA,1,2,30.0000019073486,4,5,NA,41,2,2,1,11,3.92000007629395,11459,NA,41,1,26.6666666666667,73.3333333333333
1997,2,32,NA,1,1,37,5,1,2,14,2,1,1,11,8.19999980926514,5286,NA,43,4,24.1379310344828,75.8620689655172
2017,1,33,NA,1,1,35,5,1,3,16,2,1,1,7,20.3296699523926,12830,1,44,4,24.0384615384615,75.9615384615385
2012,2,22,2,1,2,16,4,3,1,4,1,3,1,10,6.51999998092651,1160,5,45,1,23.7113402061856,76.2886597938144
2017,2,30,NA,1,1,30,5,1,3,6,1,3,3,7,NA,11842,4,45,2,28.4090909090909,71.5909090909091
2012,1,60,1,1,1,37,3,1,2,39,1,1,1,10,15.5925159454346,953,1,46,NA,28.9719626168224,71.0280373831776
2012,1,58,1,1,1,40,2,3,2,37,1,3,1,10,10,879,3,47,2,28.5714285714286,71.4285714285714
2017,2,51,NA,1,1,35,4,4,5,32,1,1,1,10,13.7362632751465,3204,5,47,1,20.2127659574468,79.7872340425532
2012,1,58,1,1,1,41,3,1,3,41,1,1,1,10,14.0712947845459,1060,1,48,1,28.1553398058252,71.8446601941748
2017,2,55,NA,1,2,24,5,2,1,39,1,2,1,2,NA,4581,1,48,1,19.2771084337349,80.7228915662651
2017,2,21,NA,1,2,16,2,4,5,1,3,1,1,1,3.31986141204834,6193,5,51,1,25.2747252747253,74.7252747252747
1997,2,39,NA,1,1,42,4,5,NA,23,2,1,1,11,5.34000015258789,60911,NA,51,1,20.6896551724138,79.3103448275862
2017,2,42,NA,1,1,42,2,1,2,18,1,1,1,1,10.9523811340332,5963,5,52,3,21.6981132075472,78.3018867924528
2012,2,56,2,1,2,23,4,5,NA,26,1,3,1,10,7,1646,NA,53,2,13.3333333333333,86.6666666666667
2012,1,39,1,1,1,46,5,1,4,1,2,NA,4,10,12.4581937789917,2563,1,54,2,38.0434782608696,61.9565217391304
1997,2,54,NA,1,2,21,2,5,NA,39,1,2,1,11,3.44000005722046,15419,NA,54,1,29.8507462686567,70.1492537313433
2012,2,50,1,1,1,30,3,5,NA,23,1,2,1,10,6.1399998664856,736,1,56,1,19.8529411764706,80.1470588235294
1997,1,45,NA,1,1,37,5,5,NA,28,1,1,1,11,6.5,10425,NA,58,1,26.7605633802817,73.2394366197183
2012,2,44,1,1,2,8,4,3,1,12,2,1,1,10,10.817307472229,1740,NA,59,2,24,76
2012,2,45,1,1,1,45,2,2,2,26,1,3,1,10,NA,773,1,60,1,27.1739130434783,72.8260869565217
2017,2,25,NA,1,1,38,2,1,4,8,2,1,1,11,10.374493598938,6949,2,60,1,25.1968503937008,74.8031496062992
2012,1,58,2,1,1,40,3,4,7,43,1,1,1,10,NA,1759,5,61,4,22.8571428571429,77.1428571428572
2017,1,20,NA,1,1,39,2,2,3,5,1,NA,1,11,5.91715955734253,8008,1,61,1,29.0322580645161,70.9677419354839
2012,2,38,1,1,1,30,3,1,2,15,1,3,1,10,NA,1739,5,62,3,20.7692307692308,79.2307692307692
2017,2,27,NA,1,1,33,2,5,NA,9,2,1,1,11,5.12820529937744,12387,5,62,2,29.0909090909091,70.9090909090909
2012,2,43,1,1,1,60,5,2,2,22,2,1,1,10,14.1025648117065,782,1,63,1,24.7311827956989,75.2688172043011
2017,1,58,NA,1,1,40,3,3,1,41,2,1,1,2,7.5,5199,3,63,1,22.8813559322034,77.1186440677966
2017,1,30,NA,1,1,40,2,4,2,8,3,3,1,2,7.21153879165649,5319,5,64,4,23.1578947368421,76.8421052631579
1997,2,26,NA,1,2,16,2,5,NA,10,1,NA,1,11,3.8199999332428,30839,NA,64,1,23.8805970149254,76.1194029850746
2012,2,47,1,1,1,39,4,5,NA,30,1,3,1,10,8.5,834,5,66,1,26.9230769230769,73.0769230769231
2012,2,25,1,1,2,16,3,1,2,6,1,1,1,10,6.15999984741211,1038,1,67,1,21.6216216216216,78.3783783783784
2012,2,59,2,1,2,15,2,5,NA,40,1,3,1,10,8,1127,6,68,1,11.5384615384615,88.4615384615385
2012,2,60,1,1,2,15,3,2,1,39,2,3,1,10,14.1300001144409,810,5,70,1,21.8978102189781,78.1021897810219
1997,2,45,NA,1,1,39,2,5,NA,29,1,3,1,11,4.28000020980835,4521,NA,70,1,20.9302325581395,79.0697674418605
2012,2,32,1,1,2,25,3,1,2,13,2,1,1,10,7.69230794906616,927,1,78,2,33.9805825242718,66.0194174757282
2012,2,38,1,1,1,37,5,1,2,8,2,1,4,10,10.3950099945068,927,1,79,1,19.8412698412698,80.1587301587302
2017,2,29,NA,1,1,43,3,3,2,11,1,2,1,10,10.5,4001,1,79,1,26.5625,73.4375
2012,1,39,1,1,1,40,3,4,1,23,2,3,1,10,8.11999988555908,3685,4,80,1,20.8955223880597,79.1044776119403
2017,1,59,NA,1,1,45,2,1,1,40,1,3,1,10,9.82905960083008,1805,1,80,2,23.2558139534884,76.7441860465116
2012,1,29,1,1,1,50,4,1,2,8,1,3,1,10,10.3846158981323,3037,6,81,1,20.8053691275168,79.1946308724832
2017,2,54,NA,1,2,13,2,3,2,33,2,1,1,10,11,1328,1,81,1,22.5352112676056,77.4647887323944
2017,1,46,NA,1,1,39,3,1,2,25,1,1,1,11,NA,6116,3,83,3,27.4074074074074,72.5925925925926
2012,1,43,1,1,1,40,3,3,7,27,1,1,1,10,8.25,945,5,84,2,27.8350515463918,72.1649484536082
2017,1,45,NA,1,1,38,4,4,2,29,1,3,1,11,12.6518220901489,6116,5,84,1,27.1028037383178,72.8971962616822
2017,1,37,NA,1,1,37,4,1,2,18,1,1,1,11,9.35550880432129,5619,3,85,2,21.7687074829932,78.2312925170068
2012,2,57,2,1,2,18,3,4,2,40,2,1,1,10,NA,564,6,86,1,9.72222222222222,90.2777777777778
2012,1,36,2,1,1,39,4,4,1,15,1,3,1,10,10.5,2126,5,88,NA,29.4117647058824,70.5882352941177
