"year","sex","age","comp_use","employment","employment_type","hours_worked","employees_workplace","importance_comp","complexity_comp","experience","sector","skill_change","ethnicity","region","hourly_pay","weight","employees_comp","pid","highest_qualification","cognitive_PCA","interactive_PCA","physical_PCA"
2012,1,23,1,1,1,37,3,1,4,5,1,1,1,6,NA,1.95854413509369,1,2,1,0.680760333852245,0.80743412231365,0
2012,2,40,1,1,1,37,5,2,2,10,1,1,1,6,40.5405387878418,0.602293908596039,1,3,4,0.717835081712843,0.724244980989427,0.476910119197718
2012,2,44,1,1,1,25,3,2,2,7,2,1,2,6,7.19999980926514,0.838540852069855,3,4,4,0.827216283234655,0.817839753184537,0.833273884190342
2012,2,23,1,1,1,-3,4,2,1,0,2,NA,1,6,NA,1.58037805557251,1,5,4,0.841458942169116,0.98365813830711,0.574797984031498
1997,1,54,NA,1,1,35,4,4,6,37,1,NA,1,11,7.692307472229,0.819256126880646,NA,6,1,0.665739921937483,0.74722754301457,0.537094122585777
2017,1,21,NA,1,2,16,2,2,2,1,1,NA,1,1,NA,2.68921518325806,3,7,2,0.657092199378273,0.630745596876142,0.606542112421599
1997,1,50,NA,1,1,39,2,5,NA,35,1,1,1,11,7.39644956588745,1.21628606319427,NA,11,2,0.698295810458482,0.710423520589346,0.682114963145762
1997,2,36,NA,1,2,18,2,5,NA,17,2,1,1,11,5.19999980926514,1.13341557979584,NA,12,3,0.629972638253964,0.768445444290319,0.500774866692665
2012,2,26,1,1,2,15,4,2,1,10,1,1,1,10,7,0.120666205883026,1,13,1,0.392730929190761,0.563366737748422,0.666547768380683
2017,2,37,NA,1,2,24,2,1,2,16,1,2,1,2,7.21709012985229,1.02718496322632,1,15,1,0.505899977825731,0.597136592505805,0.159813168632399
1997,2,59,NA,1,2,15.0000009536743,3,5,NA,34,1,2,1,11,2.66666674613953,1.22851848602295,NA,15,1,0.306962904290523,0.351272949744785,0.759263986447763
2012,2,25,1,1,1,37,4,1,2,3,1,NA,1,10,8.73180866241455,0.238698810338974,1,15,1,0.884154322238056,0.698308529141711,0
2012,2,29,2,1,1,33,2,3,2,8,2,3,1,10,7.57999992370605,0.184829965233803,5,16,2,0.547643307195626,0.784622757964643,0.325586070320417
2012,1,36,2,1,1,40,2,2,7,18,1,3,1,10,10,0.123611114919186,5,17,1,0.702562593862787,0.55482268384295,1
2012,1,51,1,1,1,40,2,3,7,30,1,2,1,10,6.49038457870483,0.224052622914314,1,18,1,0.540312489865909,0.373642079437569,0.871930959757703
2017,1,31,NA,1,1,39,5,2,1,15,1,1,1,8,7.69822978973389,0.664032101631165,1,19,1,0.517968492725444,0.458426509197728,0.939815996611941
2017,1,35,NA,1,1,-3,2,1,3,17,1,1,1,8,NA,1.43337917327881,1,20,2,0.797332792152755,0.786352261880008,0
1997,1,46,NA,1,1,84,3,5,NA,25,1,2,1,11,4.1100001335144,0.558849453926086,NA,24,1,0.66492651648103,0.461469693079803,1
2012,1,52,1,1,1,55,2,1,3,36,1,3,1,10,NA,0.350082188844681,5,26,1,0.895498137790328,0.842528228526881,0.726910119197718
2017,2,53,NA,1,2,21,5,1,3,35,2,1,1,2,10.073260307312,1.26463997364044,1,26,1,0.66357745456431,0.833648343043313,0.106542112421599
1997,1,31,NA,1,1,55,2,3,6,13,1,1,4,11,4.63636350631714,1.69419634342194,NA,27,3,0.736720657091906,0.702051573223338,0.862680192906194
2012,2,41,1,1,1,43,3,1,2,20,1,1,1,10,6.70840787887573,0.0898749753832817,1,30,1,0.95304421163568,0.719912443182749,0.879631993223882
2017,2,46,NA,1,1,38,4,1,2,29,2,1,1,2,18.2186222076416,0.603938281536102,1,30,4,0.922702852905995,0.851282393389486,0.341749784349185
2012,2,25,1,1,1,40,2,1,3,6,1,1,1,10,10.0961542129517,0.238698810338974,3,31,1,0.820788870242141,0.757018746806375,0.0678850368542381
2012,1,49,2,1,1,37,4,3,1,29,1,3,1,10,10.6000003814697,0.219753086566925,2,33,1,0.571475818186338,0.589232381640259,0.726910119197718
1997,2,42,NA,1,1,39,2,4,1,12,1,1,1,11,3.54999995231628,1.95881938934326,NA,34,3,0.968461042867194,0.85327043171151,0.773089880802282
2017,1,37,NA,1,1,40,5,1,2,13,2,1,1,11,24.0384616851807,1.43337917327881,1,34,4,0.739429402045217,0.805490649367622,0.0532710562107996
2012,2,57,1,1,1,32,2,1,2,15,3,3,1,10,12.620192527771,0.0941621586680412,1,35,1,0.755333051295143,0.68617383264368,0
2012,1,49,2,1,1,40,3,4,7,27,1,2,1,10,9.5,0.219753086566925,1,36,1,0.613628115784638,0.488921965237275,0.613455059598859
2017,1,38,NA,1,1,43,4,1,2,19,1,1,1,8,14.3112707138062,1.25557458400726,1,37,1,0.77695242016026,0.933459438354399,0.281744128390102
2012,2,23,1,1,1,33,3,5,NA,6,2,1,1,10,6.23000001907349,0.184829965233803,5,38,2,0.823843540511374,0.873556956400543,1
2017,1,45,NA,1,1,40,4,2,2,15,2,1,3,9,48.0769233703613,0.738221108913422,1,38,2,0.602899900109597,0.73801108521726,0.3032710562108
2012,1,48,2,1,1,40,3,4,2,31,1,1,1,10,8,0.507820725440979,5,39,1,0.517453725122242,0.818417590394648,0.484611152663897
2017,1,23,NA,1,1,38,4,1,2,5,1,1,1,9,8.09716606140137,1.75296986103058,1,39,1,0.401456067147369,0.701272598125689,0.401337268473555
2012,1,54,1,1,1,36,3,5,NA,35,1,1,1,10,7.59999990463257,0.11813884973526,1,40,1,0.296420283159169,0.381209717989373,0.354979159440015
1997,2,56,NA,1,2,30.0000019073486,4,5,NA,41,2,2,1,11,3.92000007629395,1.22851848602295,NA,41,1,0.107121138583824,0.269502544313848,0.560972089676979
1997,2,32,NA,1,1,37,5,1,2,14,2,1,1,11,8.19999980926514,0.566707789897919,NA,43,4,0.798119390383154,0.848978581767847,1
2017,1,33,NA,1,1,35,5,1,3,16,2,1,1,7,20.3296699523926,1.43337917327881,1,44,4,0.725110079083628,0.715428981240538,0.0532710562107996
2012,2,22,2,1,2,16,4,3,1,4,1,3,1,10,6.51999998092651,0.134911507368088,5,45,1,0.575995280270968,0.782347891807683,0.318659903546903
2017,2,30,NA,1,1,30,5,1,3,6,1,3,3,7,NA,1.31699001789093,4,45,2,0.536799825472699,0.710472695276039,0.434452782820011
2012,1,58,1,1,1,40,2,3,2,37,1,3,1,10,10,0.102246232330799,3,47,2,0.837347365119279,0.698092680206186,1
2017,2,51,NA,1,1,35,4,4,5,32,1,1,1,10,13.7362632751465,0.357576310634613,5,47,1,0.582778383097416,0.726827388112052,0.136544940401141
2012,1,58,1,1,1,41,3,1,3,41,1,1,1,10,14.0712947845459,0.123251162469387,1,48,1,0.739563698583584,0.746050898636692,0.233823066374977
2017,2,55,NA,1,2,24,5,2,1,39,1,2,1,2,NA,0.511330664157867,1,48,1,0.424166831833044,0.712230650245843,0.476135252505053
2017,2,21,NA,1,2,16,2,4,5,1,3,1,1,1,3.31986141204834,0.691866278648376,5,51,1,0.559426645902604,0.644055065483209,0.794795156051956
